,Participant id,Image order,Image name,HSP score,HSP class,Income,Valence,Arousal,Time,Selection,Selection interval,Selection hash,Focused on block,Selection count,Gender,Gender code,Age,Ideology,Ideology code,Race,Race code,Nationaly,Nationaly code,Education,Education code,Index
22,139,23,Baby 4,79,1,0,5,5,28.0,4;7;3;6;5;8;2;1;0,1.5;2;2.5;2.5;3;3.5;4;4.5;4.5,2.147414107884466,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,22
23,139,24,Dead bodies 2,79,1,0,1,7,38.0,8;7;6;2;1;0;3;4;5,3;3;3.5;4;4;4.5;4.5;5;6.5,2.430795344088516,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,23
24,139,25,Intensity 1,79,1,0,2,5,43.0,2;1;0;3;4;5;8;7;6,3;3.5;4;4.5;5;5.5;5.5;6;6,1.7948955742543533,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,24
25,139,26,Band 1,79,1,0,4,3,22.0,8;7;6;3;4;2;1;0,1.5;2;2;2.5;2.5;3.5;3.5;4.5,1.8509512324796988,5.0,8,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,25
26,139,27,Depressed face 2,79,1,0,3,4,30.0,2;5;8;1;4;7;0;3;6,1.5;2;2.5;3;3.5;3.5;4.5;4.5;5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,26
27,139,28,Jail 2,79,1,0,3,4,39.0,0;3;6;1;4;7;2;5;8,2;2.5;3.5;4;4.5;5;5.5;6;6,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,27
28,139,29,Bar 1,79,1,0,1,1,33.5,6;7;8;2;1;0;3;4;5,2.5;2.5;3;3.5;4;4;4.5;4.5;5,2.4267178314335704,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,28
29,139,30,Depressed pose 3,79,1,0,2,6,34.5,2;5;8;1;4;7;0;3;6,2.5;2.5;3;3.5;3.5;4;5;5;5.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,29
30,139,31,KKK rally 1,79,1,0,3,4,26.0,2;1;0;6;7;8;5;4;3,1.5;2;2;2.5;3;3.5;3.5;4;4,2.029820648110987,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,30
31,139,32,Barbeque 1,79,1,0,5,4,29.0,0;3;6;2;5;8;1;4;7,1.5;2;2.5;3;3.5;3.5;4;4.5;4.5,2.063208167209323,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,31
32,139,33,Desert 1,79,1,0,5,5,36.5,2;1;0;3;4;5;8;7;6,2.5;3;3.5;3.5;4;4.5;5;5;5.5,1.7948955742543533,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,32
33,139,34,Keyboard 1,79,1,0,6,6,37.0,6;7;8;5;3;0;1;2;4,3;3;3.5;3.5;4;4.5;5;5;5.5,2.5424671504474627,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,33
34,139,35,Bark 2,79,1,0,4,3,27.5,2;5;8;0;3;6;1;4;7,1.5;2;2.5;3;3;3.5;3.5;4;4.5,2.1882485879043463,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,34
35,139,36,Dessert 1,79,1,0,5,5,25.5,1;0;2;5;4;3;6;7;8,1.5;1.5;2;2.5;3;3.5;3.5;4;4,1.7793121256458733,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,35
36,139,37,Knife 1,79,1,0,2,6,36.0,2;5;8;0;7;4;3;6;1,1.5;2;2.5;3;3.5;5.5;5.5;6;6.5,2.1462560517169624,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,36
37,139,38,Barrels 1,79,1,0,4,4,25.0,0;3;6;1;4;7;2;5;8,1.5;2;2;2.5;3;3;3.5;3.5;4,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,37
38,139,39,Destruction 1,79,1,0,1,1,38.0,8;7;6;3;4;5;2;1;0,2;2;2.5;4.5;4.5;5;5;6;6.5,2.2546597084970994,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,38
39,139,40,Lake 2,79,1,0,7,7,37.0,2;5;8;1;4;7;0;3;6,1.5;2;2;4;4.5;5;5.5;6;6.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,39
40,139,41,Beach 3,79,1,0,7,7,31.5,2;5;8;1;4;7;0;3;6,2;2.5;2.5;3;3.5;4;4.5;4.5;5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,40
41,139,42,Dirt 1,79,1,0,3,4,34.0,2;4;6;0;8;5;1;7;3,1.5;2.5;3;3.5;4;4.5;4.5;5;5.5,2.1646345207454107,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,41
42,139,43,Lamb 1,79,1,0,6,4,31.0,2;5;8;1;0;3;7;6;4,1.5;2;2.5;3;3.5;3.5;4.5;5;5.5,2.1307385311289417,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,42
43,139,44,Bear 2,79,1,0,3,3,34.0,2;5;8;1;4;7;0;3;6,2.5;2.5;3;3.5;4;4;4.5;5;5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,43
44,139,45,Dock 1,79,1,0,7,6,26.0,2;1;0;3;4;5;8;7;6,2;2;2.5;2.5;3;3;3.5;3.5;4,1.7948955742543533,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,44
45,139,46,Lava 1,79,1,0,4,3,182.0,0;3;6;1;4;7;2;5;8,13;20;20.5;21;21;21;21.5;22;22,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,45
46,139,47,Biking 1,79,1,0,5,4,31.0,1;4;7;2;5;8;0;3;6,2;2.5;2.5;3;3.5;3.5;4.5;4.5;5,2.1164545584538956,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,46
47,139,48,Doctor 2,79,1,0,5,4,21.5,0;3;6;1;4;7;2;5;8,1.5;1.5;2;2;2.5;2.5;3;3;3.5,1.993153392697757,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,47
48,139,49,Lightning 5,79,1,0,4,3,35.0,2;1;0;3;5;8;7;6;4,2.5;3;3;3.5;4;4.5;4.5;5;5,1.8773616555740362,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,48
49,139,50,Billiards 1,79,1,0,5,4,26.0,4;2;1;0;3;8;6;7;5,1.5;1.5;2;2;2.5;3;4;4.5;5,1.9330591378888569,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,49
50,139,51,Dog 2,79,1,0,1,5,26.0,0;3;6;1;2;8;7;4;5,1.5;1.5;2;2;3;3.5;4;4;4.5,2.0138355718526952,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,50
51,139,52,Lion 5,79,1,0,1,6,37.5,0;1;2;5;8;7;4;3;6,2;2.5;4;4;4.5;4.5;5;5;6,1.9791619570091985,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,51
52,139,53,Bird 4,79,1,0,6,6,43.5,5;4;8;1;0;3;6;7;2,3;3.5;4;4.5;5;5.5;5.5;6;6.5,2.1994610811572217,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,52
53,139,54,Dog attack 3,79,1,0,1,6,23.5,2;5;8;7;6;0;4;3;1,1.5;1.5;2;2.5;2.5;3;3.5;3.5;3.5,2.2772086184164095,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,53
54,139,55,Birthday 3,79,1,0,4,4,14.5,6;3;0;1;4;7;2;5;8,0.5;1;1;1.5;1.5;2;2;2.5;2.5,2.077558758454672,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,54
55,139,56,Dummy 1,79,1,0,1,6,31.0,2;1;0;3;5;7;4;6;8,2;2.5;2.5;3;3.5;4;4;4.5;5,1.823251343992093,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,55
56,139,57,Meerkat 1,79,1,0,4,4,23.5,2;5;8;1;7;4;3;0;6,1;1;1.5;2;3;3;3.5;4;4.5,2.1486269673849407,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,56
57,139,58,Bloody knife 2,79,1,0,2,5,53.0,8;7;6;3;0;2;5;4;1,3.5;3.5;4;4.5;5.5;6.5;7.5;9;9,2.359763586867436,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,57
58,139,59,Eating 2,79,1,0,5,5,34.0,3;6;2;0;1;5;8;7;4,1.5;2;3;4;4;4.5;4.5;5;5.5,2.0365197354186773,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,58
59,139,60,Memorial 2,79,1,0,2,5,19.0,2;5;8;1;4;7;0;3;6,1;1.5;1.5;2;2;2.5;2.5;3;3,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,59
60,139,61,Boat 1,79,1,0,6,6,23.0,2;5;8;1;4;7;0;3;6,1.5;1.5;2;2.5;2.5;3;3;3.5;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,60
61,139,62,Elephant 1,79,1,0,4,4,120.5,6;7;8;5;4;3;1;2;0,12.5;12.5;13;13;13.5;13.5;14;14;14.5,2.319100096117091,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,61
62,139,63,Miserable pose 5,79,1,0,2,4,20.5,2;5;8;1;4;7;0;3;6,1;1;1.5;2;2.5;2.5;3;3;4,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,62
63,139,64,Bored face 1,79,1,0,3,3,32.5,2;5;8;1;4;7;0;3;6,2.5;3;3;3.5;3.5;4;4;4.5;4.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,63
64,139,65,Excited face 1,79,1,0,4,2,20.5,2;5;8;7;6;3;4;1;0,1;1.5;1.5;2;2.5;2.5;3;3;3.5,2.1158828372518212,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,64
65,139,66,Money 1,79,1,0,5,3,20.5,2;5;8;1;4;7;0;3;6,1;1.5;1.5;2;2;2.5;3;3;4,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,65
66,139,67,Bored pose 3,79,1,0,3,3,31.5,8;7;6;3;4;5;2;0;1,2;2.5;3;3.5;3.5;4;4;4.5;4.5,2.3169637505814635,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,66
67,139,68,Exercise 3,79,1,0,2,2,24.0,2;1;0;6;7;8;5;4;3,1.5;2;2;2.5;3;3;3;3.5;3.5,2.029820648110987,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,67
68,139,69,Monkey 4,79,1,0,2,4,30.5,2;0;3;6;8;7;5;1;4,1.5;2;2.5;3;3.5;4;4.5;4.5;5,2.0863609107891348,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,68
69,139,70,Bottle 1,79,1,0,4,1,23.0,5;3;0;1;2;6;7;8;4,1;1.5;2;2;2.5;3;3.5;3.5;4,1.9895460246218706,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,69
70,139,71,Explosion 6,79,1,0,3,5,31.5,2;1;0;3;8;7;6;4;5,2;2.5;2.5;3;3.5;4;4.5;4.5;5,1.9474239938502866,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,70
71,139,72,Moon 1,79,1,0,5,4,19.5,2;5;8;1;4;7;0;3;6,1;1;1.5;2;2;2.5;3;3;3.5,2.1880454676706145,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,71
72,139,73,Boxing 2,79,1,0,3,4,48.5,7;0;4;1;2;5;3;8;6,1.5;2;4.5;5.5;6;6.5;7;7.5;8,2.058393662623159,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,72
73,139,74,Father 1,79,1,0,6,6,29.5,3;0;6;1;4;7;2;5;8,1;2.5;3;3;3.5;3.5;4;4.5;4.5,2.0224742155433058,5.0,9,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,73
74,139,75,Mother 1,79,1,0,7,6,20.5,5;8;0;3;6;1;4;7,1.5;1.5;2;2.5;3;3;3.5;3.5,1.4971194495144367,5.0,8,Female,1,21,Neutral,4,White,1,Azari,2,Bachelors,3,74
